fecha,indice,indice_ext,salario_real_ipc,salario_pesos_actuales
2023-03-01,104.8,104.8,1835418.2811874375,1929395.7322704154
2023-04-01,103.3,103.3,1809882.841512483,1901780.335339064
2023-05-01,103.5,103.5,,1905462.3882632444
2023-06-01,105.5,105.5,1848431.9937659325,1942282.9175050464
2023-07-01,110.3,110.3,1931232.608412519,2030652.1876853704
2023-08-01,107.1,107.1,1874948.4459370726,1971739.3408984875
2023-09-01,104.5,104.5,1829186.2774238698,1923872.652884145
2023-10-01,108.0,108.0,1891613.088593716,1988308.5790572984
2023-11-01,104.4,104.4,1827693.6447579733,1922031.626422055
2023-12-01,87.8,87.8,1536847.0578274725,1616421.2337151
2024-01-01,72.8,72.8,1274183.9149947502,1340267.2644015863
2024-02-01,74.5,74.5,1305232.3933783646,1371564.714257118
2024-03-01,75.2,75.2,1316875.6505011122,1384451.8994917485
2024-04-01,74.6,74.6,1306810.5158947464,1373405.740719208
2024-05-01,78.1,78.1,1367319.3875819084,1437841.6668923611
2024-06-01,77.7,77.7,1359773.2405962816,1430477.5610440008
2024-07-01,80.2,80.2,1405117.1629060383,1476503.2225962533
2024-08-01,79.3,79.3,1375817.90578739,1459933.9844374422
2024-09-01,78.2,78.2,1369578.3058170388,1439682.6933544513
2024-10-01,81.3,81.3,1424368.424866406,1496754.513679244
2024-11-01,81.0,81.0,1418437.88655755,1491231.4342929737
2024-12-01,78.9,78.9,1394902.5869106185,1452569.878589082
2025-01-01,79.1,79.1,1385197.6321262815,1456251.9315132617
2025-02-01,78.2,78.2,1368943.2615746376,1439682.6933544513
2025-03-01,76.3,76.3,1336883.350857469,1404703.1905747394
2025-04-01,75.2,75.2,1317621.6513445987,1384451.8994917485
2025-05-01,75.1,75.1,1315010.9748533315,1382610.8730296583
2025-06-01,73.9,73.9,1310883.9476307135,1360518.5554845773
2025-07-01,72.5,72.5,1303143.671741195,1334744.1850153161
2025-08-01,74.0,74.0,1295777.9287779366,1362359.5819466675
2025-09-01,73.4,73.4,1284658.6340827448,1351313.423174127
2025-10-01,72.5,72.5,1269069.257821005,1334744.1850153161
2025-11-01,71.5,71.5,1252066.2273020204,1316333.9203944153
2025-12-01,69.5,69.5,1241775.7707171084,1279513.3911526133
2026-01-01,68.9,68.9,1237169.7825245413,1268467.232380073
2026-02-01,67.2,67.2,1228797.65430546,1237169.7825245413
2026-03-01,,65.85260451767189,1212363.8751458742,1212363.8751458742
2026-04-01,,64.78076358804876,1192631.0,1192631.0
